,reg_t_title_ru,use_of_the_mobile_app,COUNT(DISTINCT users_transactions_car_id)
694,Самара,2020-10-20,2
695,Самара,2020-10-21,2
696,Самара,2020-10-22,2
697,Самара,2020-10-23,2
698,Самара,2020-10-24,2
699,Самара,2020-10-25,2
700,Самара,2020-10-26,2
701,Самара,2020-10-27,1
702,Самара,2020-10-28,1
703,Самара,2020-10-29,1
704,Самара,2020-10-30,2
705,Самара,2020-10-31,1
706,Самара,2020-11-01,2
707,Самара,2020-11-02,2
708,Самара,2020-11-03,2
709,Самара,2020-11-04,2
710,Самара,2020-11-05,2
711,Самара,2020-11-06,2
712,Самара,2020-11-07,2
713,Самара,2020-11-08,2
714,Самара,2020-11-09,2
715,Самара,2020-11-10,2
716,Самара,2020-11-11,2
717,Самара,2020-11-12,2
718,Самара,2020-11-13,2
719,Самара,2020-11-14,1
720,Самара,2020-11-15,2
721,Самара,2020-11-16,1
722,Самара,2020-11-17,1
723,Самара,2020-11-18,2
724,Самара,2020-11-19,2
725,Самара,2020-11-20,2
726,Самара,2020-11-21,2
727,Самара,2020-11-22,2
728,Самара,2020-11-23,2
729,Самара,2020-11-24,2
730,Самара,2020-11-25,2
731,Самара,2020-11-26,2
732,Самара,2020-11-27,2
733,Самара,2020-11-28,2
734,Самара,2020-11-29,2
735,Самара,2020-11-30,2
736,Самара,2020-12-01,2
737,Самара,2020-12-02,2
738,Самара,2020-12-03,1
739,Самара,2020-12-04,2
740,Самара,2020-12-05,1
741,Самара,2020-12-06,2
742,Самара,2020-12-07,1
743,Самара,2020-12-08,1
744,Самара,2020-12-09,1
745,Самара,2020-12-10,1
746,Самара,2020-12-11,1
747,Самара,2020-12-12,1
748,Самара,2020-12-13,1
749,Самара,2020-12-14,2
750,Самара,2020-12-15,1
751,Самара,2020-12-16,2
752,Самара,2020-12-17,3
753,Самара,2020-12-18,1
754,Самара,2020-12-19,1
755,Самара,2020-12-20,2
756,Самара,2020-12-21,2
757,Самара,2020-12-22,2
758,Самара,2020-12-23,2
759,Самара,2020-12-24,2
760,Самара,2020-12-25,2
761,Самара,2020-12-26,2
762,Самара,2020-12-27,2
763,Самара,2020-12-28,2
764,Самара,2020-12-29,2
765,Самара,2020-12-30,2
766,Самара,2020-12-31,2
767,Самара,2021-01-01,1
768,Самара,2021-01-02,1
769,Самара,2021-01-03,1
770,Самара,2021-01-04,2
771,Самара,2021-01-05,1
772,Самара,2021-01-06,2
773,Самара,2021-01-07,2
774,Самара,2021-01-08,2
775,Самара,2021-01-09,2
776,Самара,2021-01-10,1
777,Самара,2021-01-11,2
778,Самара,2021-01-12,1
779,Самара,2021-01-13,2
780,Самара,2021-01-14,2
781,Самара,2021-01-15,2
782,Самара,2021-01-16,2
783,Самара,2021-01-17,2
784,Самара,2021-01-18,2
785,Самара,2021-01-19,2
786,Самара,2021-01-20,2
787,Самара,2021-01-21,2
788,Самара,2021-01-22,2
789,Самара,2021-01-23,2
790,Самара,2021-01-24,2
791,Самара,2021-01-25,2
792,Самара,2021-01-26,2
793,Самара,2021-01-27,2
794,Самара,2021-01-28,2
795,Самара,2021-01-29,2
796,Самара,2021-01-30,2
797,Самара,2021-01-31,2
798,Самара,2021-02-01,2
799,Самара,2021-02-02,2
800,Самара,2021-02-03,2
801,Самара,2021-02-04,2
802,Самара,2021-02-05,4
803,Самара,2021-02-06,2
804,Самара,2021-02-07,4
805,Самара,2021-02-08,5
806,Самара,2021-02-09,8
807,Самара,2021-02-10,5
808,Самара,2021-02-11,10
809,Самара,2021-02-12,9
810,Самара,2021-02-13,9
811,Самара,2021-02-14,10
812,Самара,2021-02-15,10
813,Самара,2021-02-16,10
814,Самара,2021-02-17,8
815,Самара,2021-02-18,12
816,Самара,2021-02-19,14
817,Самара,2021-02-20,14
818,Самара,2021-02-21,14
819,Самара,2021-02-22,17
820,Самара,2021-02-23,16
821,Самара,2021-02-24,16
822,Самара,2021-02-25,21
823,Самара,2021-02-26,21
824,Самара,2021-02-27,21
825,Самара,2021-02-28,22
826,Самара,2021-03-01,23
827,Самара,2021-03-02,25
828,Самара,2021-03-03,24
829,Самара,2021-03-04,26
830,Самара,2021-03-05,24
831,Самара,2021-03-06,25
832,Самара,2021-03-07,24
833,Самара,2021-03-08,25
834,Самара,2021-03-09,26
835,Самара,2021-03-10,26
836,Самара,2021-03-11,28
837,Самара,2021-03-12,27
838,Самара,2021-03-13,26
839,Самара,2021-03-14,26
840,Самара,2021-03-15,28
841,Самара,2021-03-16,29
842,Самара,2021-03-17,28
843,Самара,2021-03-18,29
844,Самара,2021-03-19,31
845,Самара,2021-03-20,31
846,Самара,2021-03-21,30
847,Самара,2021-03-22,31
848,Самара,2021-03-23,29
849,Самара,2021-03-24,31
850,Самара,2021-03-25,31
851,Самара,2021-03-26,33
852,Самара,2021-03-27,33
853,Самара,2021-03-28,33
854,Самара,2021-03-29,36
855,Самара,2021-03-30,35
856,Самара,2021-03-31,35
857,Самара,2021-04-01,34
858,Самара,2021-04-02,34
859,Самара,2021-04-03,34
860,Самара,2021-04-04,34
861,Самара,2021-04-05,34
862,Самара,2021-04-06,34
863,Самара,2021-04-07,33
864,Самара,2021-04-09,34
865,Самара,2021-04-10,32
866,Самара,2021-04-11,33
867,Самара,2021-04-12,33
868,Самара,2021-04-13,29
869,Самара,2021-04-14,33
870,Самара,2021-04-15,33
871,Самара,2021-04-16,33
872,Самара,2021-04-17,31
873,Самара,2021-04-18,31
874,Самара,2021-04-19,33
875,Самара,2021-04-20,32
876,Самара,2021-04-21,32
877,Самара,2021-04-22,32
878,Самара,2021-04-23,35
879,Самара,2021-04-24,33
880,Самара,2021-04-25,30
881,Самара,2021-04-26,34
882,Самара,2021-04-27,30
883,Самара,2021-04-28,31
884,Самара,2021-04-29,30
885,Самара,2021-04-30,31
886,Самара,2021-05-01,31
887,Самара,2021-05-02,31
888,Самара,2021-05-03,33
889,Самара,2021-05-04,33
890,Самара,2021-05-05,33
891,Самара,2021-05-06,35
892,Самара,2021-05-07,35
893,Самара,2021-05-08,35
894,Самара,2021-05-09,33
895,Самара,2021-05-10,33
896,Самара,2021-05-11,33
897,Самара,2021-05-12,32
898,Самара,2021-05-13,32
899,Самара,2021-05-14,33
900,Самара,2021-05-15,33
901,Самара,2021-05-16,34
902,Самара,2021-05-17,34
903,Самара,2021-05-18,34
904,Самара,2021-05-19,35
905,Самара,2021-05-20,34
906,Самара,2021-05-21,33
907,Самара,2021-05-22,34
908,Самара,2021-05-23,33
909,Самара,2021-05-24,35
910,Самара,2021-05-25,35
911,Самара,2021-05-26,35
912,Самара,2021-05-27,36
913,Самара,2021-05-28,35
914,Самара,2021-05-29,35
915,Самара,2021-05-30,35
916,Самара,2021-05-31,34
917,Самара,2021-06-01,33
918,Самара,2021-06-02,37
919,Самара,2021-06-03,33
920,Самара,2021-06-04,30
921,Самара,2021-06-05,29
922,Самара,2021-06-06,28
923,Самара,2021-06-07,30
924,Самара,2021-06-08,29
925,Самара,2021-06-09,30
926,Самара,2021-06-10,27
927,Самара,2021-06-11,30
928,Самара,2021-06-12,30
929,Самара,2021-06-13,31
930,Самара,2021-06-14,30
931,Самара,2021-06-15,30
932,Самара,2021-06-16,31
933,Самара,2021-06-17,30
934,Самара,2021-06-18,30
935,Самара,2021-06-19,31
936,Самара,2021-06-20,32
937,Самара,2021-06-21,32
938,Самара,2021-06-22,32
939,Самара,2021-06-23,34
940,Самара,2021-06-24,33
941,Самара,2021-06-25,34
942,Самара,2021-06-26,35
943,Самара,2021-06-27,32
944,Самара,2021-06-28,32
945,Самара,2021-06-29,32
946,Самара,2021-06-30,34
947,Самара,2021-07-01,34
948,Самара,2021-07-02,34
949,Самара,2021-07-03,34
950,Самара,2021-07-04,33
951,Самара,2021-07-05,33
952,Самара,2021-07-06,35
953,Самара,2021-07-07,33
954,Самара,2021-07-08,30
955,Самара,2021-07-09,31
956,Самара,2021-07-10,31
957,Самара,2021-07-11,29
958,Самара,2021-07-12,29
959,Самара,2021-07-13,29
960,Самара,2021-07-14,26
961,Самара,2021-07-15,27
962,Самара,2021-07-16,26
963,Самара,2021-07-17,26
964,Самара,2021-07-18,25
965,Самара,2021-07-19,27
966,Самара,2021-07-20,28
967,Самара,2021-07-21,29
968,Самара,2021-07-22,29
969,Самара,2021-07-23,28
970,Самара,2021-07-24,28
971,Самара,2021-07-25,27
972,Самара,2021-07-26,30
973,Самара,2021-07-27,32
974,Самара,2021-07-28,31
975,Самара,2021-07-29,31
976,Самара,2021-07-30,32
977,Самара,2021-07-31,33
978,Самара,2021-08-01,31
979,Самара,2021-08-02,32
980,Самара,2021-08-03,31
981,Самара,2021-08-04,33
982,Самара,2021-08-05,34
983,Самара,2021-08-06,32
984,Самара,2021-08-07,33
985,Самара,2021-08-08,31
986,Самара,2021-08-09,33
987,Самара,2021-08-10,32
988,Самара,2021-08-11,33
989,Самара,2021-08-12,34
990,Самара,2021-08-13,35
991,Самара,2021-08-14,31
992,Самара,2021-08-15,29
993,Самара,2021-08-16,32
994,Самара,2021-08-17,32
995,Самара,2021-08-18,30
996,Самара,2021-08-19,31
997,Самара,2021-08-20,30
998,Самара,2021-08-21,32
999,Самара,2021-08-22,28
1000,Самара,2021-08-23,30
1001,Самара,2021-08-24,31
1002,Самара,2021-08-25,31
1003,Самара,2021-08-26,31
1004,Самара,2021-08-27,31
1005,Самара,2021-08-28,30
1006,Самара,2021-08-29,28
1007,Самара,2021-08-30,31
1008,Самара,2021-08-31,31
1009,Самара,2021-09-01,28
1010,Самара,2021-09-02,29
1011,Самара,2021-09-03,31
1012,Самара,2021-09-04,30
1013,Самара,2021-09-05,29
1014,Самара,2021-09-06,31
1015,Самара,2021-09-07,31
1016,Самара,2021-09-08,30
1017,Самара,2021-09-09,32
1018,Самара,2021-09-10,31
1019,Самара,2021-09-11,32
1020,Самара,2021-09-12,30
1021,Самара,2021-09-13,28
1022,Самара,2021-09-14,27
1023,Самара,2021-09-15,28
1024,Самара,2021-09-16,30
1025,Самара,2021-09-17,31
1026,Самара,2021-09-18,30
1027,Самара,2021-09-19,29
1028,Самара,2021-09-20,30
1029,Самара,2021-09-21,30
1030,Самара,2021-09-22,30
1031,Самара,2021-09-23,30
1032,Самара,2021-09-24,31
1033,Самара,2021-09-25,31
1034,Самара,2021-09-26,31
1035,Самара,2021-09-27,33
1036,Самара,2021-09-28,30
1037,Самара,2021-09-29,30
1038,Самара,2021-09-30,31
1039,Самара,2021-10-01,30
1040,Самара,2021-10-02,31
1041,Самара,2021-10-03,29
1042,Самара,2021-10-04,31
1043,Самара,2021-10-05,30
1044,Самара,2021-10-06,32
1045,Самара,2021-10-07,32
1046,Самара,2021-10-08,32
1047,Самара,2021-10-09,31
1048,Самара,2021-10-10,32
1049,Самара,2021-10-11,32
1050,Самара,2021-10-12,31
1051,Самара,2021-10-13,31
1052,Самара,2021-10-14,31
1053,Самара,2021-10-15,33
1054,Самара,2021-10-16,33
1055,Самара,2021-10-17,30
1056,Самара,2021-10-18,31
1057,Самара,2021-10-19,29
1058,Самара,2021-10-20,29
1059,Самара,2021-10-21,29
1060,Самара,2021-10-22,31
1061,Самара,2021-10-23,30
1062,Самара,2021-10-24,32
1063,Самара,2021-10-25,30
1064,Самара,2021-10-26,32
1065,Самара,2021-10-27,30
1066,Самара,2021-10-28,31
1067,Самара,2021-10-29,33
1068,Самара,2021-10-30,31
1069,Самара,2021-10-31,31
1070,Самара,2021-11-01,33
1071,Самара,2021-11-02,31
1072,Самара,2021-11-03,32
1073,Самара,2021-11-04,32
1074,Самара,2021-11-05,32
1075,Самара,2021-11-06,30
1076,Самара,2021-11-07,30
1077,Самара,2021-11-08,31
1078,Самара,2021-11-09,31
1079,Самара,2021-11-10,30
1080,Самара,2021-11-11,29
1081,Самара,2021-11-12,27
1082,Самара,2021-11-13,27
1083,Самара,2021-11-14,29
1084,Самара,2021-11-15,29
1085,Самара,2021-11-16,29
1086,Самара,2021-11-17,30
1087,Самара,2021-11-18,29
1088,Самара,2021-11-19,29
1089,Самара,2021-11-20,28
1090,Самара,2021-11-21,26
1091,Самара,2021-11-22,26
1092,Самара,2021-11-23,25
1093,Самара,2021-11-24,28
1094,Самара,2021-11-25,26
1095,Самара,2021-11-26,29
1096,Самара,2021-11-27,27
1097,Самара,2021-11-28,26
1098,Самара,2021-11-29,27
1099,Самара,2021-11-30,28
1100,Самара,2021-12-01,27
1101,Самара,2021-12-02,24
1102,Самара,2021-12-03,25
1103,Самара,2021-12-04,27
1104,Самара,2021-12-05,27
1105,Самара,2021-12-06,26
1106,Самара,2021-12-07,27
1107,Самара,2021-12-08,26
1108,Самара,2021-12-09,26
1109,Самара,2021-12-10,28
1110,Самара,2021-12-11,29
1111,Самара,2021-12-12,28
1112,Самара,2021-12-13,31
1113,Самара,2021-12-14,30
1114,Самара,2021-12-15,30
1115,Самара,2021-12-16,27
1116,Самара,2021-12-17,28
1117,Самара,2021-12-18,28
1118,Самара,2021-12-19,30
1119,Самара,2021-12-20,32
1120,Самара,2021-12-21,28
1121,Самара,2021-12-22,29
1122,Самара,2021-12-23,29
1123,Самара,2021-12-24,29
1124,Самара,2021-12-25,27
1125,Самара,2021-12-26,29
1126,Самара,2021-12-27,29
1127,Самара,2021-12-28,26
1128,Самара,2021-12-29,27
1129,Самара,2021-12-30,27
1130,Самара,2021-12-31,28
1131,Самара,2022-01-01,27
1132,Самара,2022-01-02,27
1133,Самара,2022-01-03,27
1134,Самара,2022-01-04,27
1135,Самара,2022-01-05,28
1136,Самара,2022-01-06,26
1137,Самара,2022-01-07,26
1138,Самара,2022-01-08,25
1139,Самара,2022-01-09,27
1140,Самара,2022-01-10,27
1141,Самара,2022-01-11,28
1142,Самара,2022-01-12,25
1143,Самара,2022-01-13,26
1144,Самара,2022-01-14,25
1145,Самара,2022-01-15,27
1146,Самара,2022-01-16,27
1147,Самара,2022-01-17,27
1148,Самара,2022-01-18,24
1149,Самара,2022-01-19,24
1150,Самара,2022-01-20,26
1151,Самара,2022-01-21,22
1152,Самара,2022-01-22,25
1153,Самара,2022-01-23,23
1154,Самара,2022-01-24,23
1155,Самара,2022-01-25,24
1156,Самара,2022-01-26,23
1157,Самара,2022-01-27,22
1158,Самара,2022-01-28,23
1159,Самара,2022-01-29,24
1160,Самара,2022-01-30,26
1161,Самара,2022-01-31,23
1162,Самара,2022-02-01,27
1163,Самара,2022-02-02,24
1164,Самара,2022-02-03,23
1165,Самара,2022-02-04,24
1166,Самара,2022-02-05,23
1167,Самара,2022-02-06,22
1168,Самара,2022-02-07,21
1169,Самара,2022-02-08,21
1170,Самара,2022-02-09,22
1171,Самара,2022-02-10,23
1172,Самара,2022-02-11,20
1173,Самара,2022-02-12,22
1174,Самара,2022-02-13,22
1175,Самара,2022-02-14,18
1176,Самара,2022-02-15,20
1177,Самара,2022-02-16,20
1178,Самара,2022-02-17,22
1179,Самара,2022-02-18,22
1180,Самара,2022-02-19,21
1181,Самара,2022-02-20,21
1182,Самара,2022-02-21,19
1183,Самара,2022-02-22,21
1184,Самара,2022-02-23,23
1185,Самара,2022-02-24,22
1186,Самара,2022-02-25,21
1187,Самара,2022-02-26,22
1188,Самара,2022-02-27,22
1189,Самара,2022-02-28,19
1190,Самара,2022-03-01,22
1191,Самара,2022-03-02,20
1192,Самара,2022-03-03,23
1193,Самара,2022-03-04,23
1194,Самара,2022-03-05,23
1195,Самара,2022-03-06,21
1196,Самара,2022-03-07,23
1197,Самара,2022-03-08,21
1198,Самара,2022-03-09,20
1199,Самара,2022-03-10,19
1200,Самара,2022-03-11,20
1201,Самара,2022-03-12,20
1202,Самара,2022-03-13,21
1203,Самара,2022-03-14,18
1204,Самара,2022-03-15,21
1205,Самара,2022-03-16,18
1206,Самара,2022-03-17,19
1207,Самара,2022-03-18,18
1208,Самара,2022-03-19,20
1209,Самара,2022-03-20,19
1210,Самара,2022-03-21,12
1211,Самара,2022-03-22,11
1212,Самара,2022-03-23,11
1213,Самара,2022-03-24,12
1214,Самара,2022-03-25,8
1215,Самара,2022-03-26,7
1216,Самара,2022-03-27,7
1217,Самара,2022-03-28,7
1218,Самара,2022-03-29,7
1219,Самара,2022-03-30,7
1220,Самара,2022-03-31,7
1221,Самара,2022-04-01,6
1222,Самара,2022-04-02,6
1223,Самара,2022-04-03,6
1224,Самара,2022-04-04,6
1225,Самара,2022-04-05,6
1226,Самара,2022-04-06,6
1227,Самара,2022-04-07,6
1228,Самара,2022-04-08,4
1229,Самара,2022-04-09,5
1230,Самара,2022-04-10,5
1231,Самара,2022-04-11,1
1232,Санкт-Петербург,2020-06-17,1
1233,Санкт-Петербург,2020-07-01,1
1234,Санкт-Петербург,2020-07-08,1
1235,Санкт-Петербург,2020-07-09,1
1236,Санкт-Петербург,2020-07-10,2
1237,Санкт-Петербург,2020-07-13,3
1238,Санкт-Петербург,2020-07-14,1
1239,Санкт-Петербург,2020-07-15,3
1240,Санкт-Петербург,2020-07-16,1
1241,Санкт-Петербург,2020-07-17,4
1242,Санкт-Петербург,2020-07-18,3
1243,Санкт-Петербург,2020-07-19,4
1244,Санкт-Петербург,2020-07-20,4
1245,Санкт-Петербург,2020-07-21,3
1246,Санкт-Петербург,2020-07-22,3
1247,Санкт-Петербург,2020-07-23,5
1248,Санкт-Петербург,2020-07-24,3
1249,Санкт-Петербург,2020-07-25,4
1250,Санкт-Петербург,2020-07-26,4
1251,Санкт-Петербург,2020-07-27,4
1252,Санкт-Петербург,2020-07-28,4
1253,Санкт-Петербург,2020-07-29,1
1254,Санкт-Петербург,2020-07-30,5
1255,Санкт-Петербург,2020-07-31,5
1256,Санкт-Петербург,2020-08-01,6
1257,Санкт-Петербург,2020-08-02,6
1258,Санкт-Петербург,2020-08-03,7
1259,Санкт-Петербург,2020-08-04,7
1260,Санкт-Петербург,2020-08-05,8
1261,Санкт-Петербург,2020-08-06,12
1262,Санкт-Петербург,2020-08-07,16
1263,Санкт-Петербург,2020-08-08,15
1264,Санкт-Петербург,2020-08-09,14
1265,Санкт-Петербург,2020-08-10,14
1266,Санкт-Петербург,2020-08-11,13
1267,Санкт-Петербург,2020-08-12,16
1268,Санкт-Петербург,2020-08-13,16
1269,Санкт-Петербург,2020-08-14,16
1270,Санкт-Петербург,2020-08-15,16
1271,Санкт-Петербург,2020-08-16,16
1272,Санкт-Петербург,2020-08-17,22
1273,Санкт-Петербург,2020-08-18,23
1274,Санкт-Петербург,2020-08-19,25
1275,Санкт-Петербург,2020-08-20,23
1276,Санкт-Петербург,2020-08-21,24
1277,Санкт-Петербург,2020-08-22,23
1278,Санкт-Петербург,2020-08-23,23
1279,Санкт-Петербург,2020-08-24,28
1280,Санкт-Петербург,2020-08-25,27
1281,Санкт-Петербург,2020-08-26,28
1282,Санкт-Петербург,2020-08-27,28
1283,Санкт-Петербург,2020-08-28,29
1284,Санкт-Петербург,2020-08-29,29
1285,Санкт-Петербург,2020-08-30,29
1286,Санкт-Петербург,2020-08-31,34
1287,Санкт-Петербург,2020-09-01,37
1288,Санкт-Петербург,2020-09-02,47
1289,Санкт-Петербург,2020-09-03,51
1290,Санкт-Петербург,2020-09-04,53
1291,Санкт-Петербург,2020-09-05,51
1292,Санкт-Петербург,2020-09-06,52
1293,Санкт-Петербург,2020-09-07,57
1294,Санкт-Петербург,2020-09-08,61
1295,Санкт-Петербург,2020-09-09,58
1296,Санкт-Петербург,2020-09-10,61
1297,Санкт-Петербург,2020-09-11,60
1298,Санкт-Петербург,2020-09-12,59
1299,Санкт-Петербург,2020-09-13,59
1300,Санкт-Петербург,2020-09-14,60
1301,Санкт-Петербург,2020-09-15,60
1302,Санкт-Петербург,2020-09-16,62
1303,Санкт-Петербург,2020-09-17,61
1304,Санкт-Петербург,2020-09-18,62
1305,Санкт-Петербург,2020-09-19,60
1306,Санкт-Петербург,2020-09-20,59
1307,Санкт-Петербург,2020-09-21,59
1308,Санкт-Петербург,2020-09-22,59
1309,Санкт-Петербург,2020-09-23,55
1310,Санкт-Петербург,2020-09-24,54
1311,Санкт-Петербург,2020-09-25,58
1312,Санкт-Петербург,2020-09-26,56
1313,Санкт-Петербург,2020-09-27,56
1314,Санкт-Петербург,2020-09-28,55
1315,Санкт-Петербург,2020-09-29,52
1316,Санкт-Петербург,2020-09-30,53
1317,Санкт-Петербург,2020-10-01,53
1318,Санкт-Петербург,2020-10-02,55
1319,Санкт-Петербург,2020-10-03,53
1320,Санкт-Петербург,2020-10-04,54
1321,Санкт-Петербург,2020-10-05,56
1322,Санкт-Петербург,2020-10-06,54
1323,Санкт-Петербург,2020-10-07,57
1324,Санкт-Петербург,2020-10-08,55
1325,Санкт-Петербург,2020-10-09,58
1326,Санкт-Петербург,2020-10-10,57
1327,Санкт-Петербург,2020-10-11,58
1328,Санкт-Петербург,2020-10-12,56
1329,Санкт-Петербург,2020-10-13,54
1330,Санкт-Петербург,2020-10-14,53
1331,Санкт-Петербург,2020-10-15,53
1332,Санкт-Петербург,2020-10-16,58
1333,Санкт-Петербург,2020-10-17,55
1334,Санкт-Петербург,2020-10-18,55
1335,Санкт-Петербург,2020-10-19,57
1336,Санкт-Петербург,2020-10-20,54
1337,Санкт-Петербург,2020-10-21,60
1338,Санкт-Петербург,2020-10-22,61
1339,Санкт-Петербург,2020-10-23,63
